student_code,student_name,school,school_year,grade,class_name,parent_name,parent_email,parent_phone,relationship,parent_primary,parent_active,receives_billing_email
DEMO-S001,Minh Nguyen An,DEKISUGI,2025-2026,1,1.01,Linh Pham,parent01@example.com,0901000001,mother,true,true,true
DEMO-S002,Binh Tran Gia,DEKISUGI,2025-2026,1,1.01,Nam Tran,parent02@example.com,0901000002,father,true,true,true
DEMO-S003,Chi Le Bao,DEKISUGI,2025-2026,1,1.01,Hoa Le,parent03a@example.com,0901000003,mother,true,true,true
DEMO-S003,Chi Le Bao,DEKISUGI,2025-2026,1,1.01,Phuc Le,parent03b@example.com,0901000004,father,false,true,false
DEMO-S004,Khue Do Gia,DEKISUGI,2025-2026,1,1.01,Thao Do,,0901000005,mother,true,true,false
DEMO-S005,Duc Pham Anh,DEKISUGI,2025-2026,2,2.01,Huong Pham,parent05@example.com,0901000006,mother,true,true,true
DEMO-S006,Em Pham Minh,DEKISUGI,2025-2026,2,2.01,Huong Pham,parent05@example.com,0901000006,mother,true,true,true
DEMO-S007,Gia Vu Long,DEKISUGI,2025-2026,2,2.01,Quang Vu,parent07@example.com,0901000007,father,true,false,false
DEMO-S008,Ha Hoang Yen,DEKISUGI,2025-2026,3,3.02,Mai Hoang,parent08@example.com,0901000008,mother,true,true,true
DEMO-S009,Khang Nguyen Bao,DEKISUGI,2025-2026,3,3.02,Son Nguyen,parent09@example.com,0901000009,father,true,true,true
DEMO-S010,Lan Tran Ngoc,DEKISUGI,2025-2026,3,3.02,Hanh Tran,parent10@example.com,0901000010,mother,true,true,true
DEMO-S011,Minh Nguyen An,DEKISUGI,2025-2026,3,3.03,Van Nguyen,parent11@example.com,0901000011,father,true,true,true
DEMO-S012,Nhi Dao Mai,DEKISUGI,2025-2026,3,3.03,Thu Dao,parent12@example.com,0901000012,mother,true,true,true
DEMO-S013,Oanh Bui Khanh,DEKISUGI,2025-2026,3,3.03,Tuan Bui,parent13@example.com,0901000013,father,true,true,true
DEMO-S014,Phuc Dang Khoa,DEKISUGI,2025-2026,3,3.03,Lam Dang,,0901000014,guardian,true,true,false
