student_name,parent_name,class_name,bank_bin,bank_account,email,amount,bill_number,note,tuition_april,shuttle_april,tuition_may,health_insurance,uniform_fee,international_material,previous_fees
Minh Nguyen An,Linh Pham,1.01,970415,DEMOACC001,parent01@example.com,0,DEMO2504S001,Hoc phi T04 T05,4200000,1200000,4200000,563850,0,800000,0
Binh Tran Gia,Nam Tran,1.01,970432,DEMOACC002,parent02@example.com,0,DEMO2504S002,Hoc phi T04 T05,4200000,0,4200000,563850,750000,800000,0
Chi Le Bao,Hoa Le,1.01,970441,DEMOACC003,parent03a@example.com,0,DEMO2504S003,Hoc phi T04 T05,4200000,1200000,4200000,0,0,800000,300000
Khue Do Gia,Thao Do,1.01,970415,DEMOACC004,,0,DEMO2504S004,Hoc phi T04 T05,4200000,0,4200000,563850,0,800000,0
Duc Pham Anh,Huong Pham,2.01,970432,DEMOACC005,parent05@example.com,0,DEMO2504S005,Hoc phi T04 T05,4500000,1500000,4500000,0,0,950000,0
Em Pham Minh,Huong Pham,2.01,970432,DEMOACC006,parent05@example.com,0,DEMO2504S006,Hoc phi T04 T05,4500000,1500000,4500000,0,0,950000,0
Gia Vu Long,Quang Vu,2.01,970441,DEMOACC007,parent07@example.com,0,DEMO2504S007,Hoc phi T04 T05,4500000,0,4500000,563850,650000,950000,600000
Ha Hoang Yen,Mai Hoang,3.02,970415,DEMOACC008,parent08@example.com,0,DEMO2504S008,Hoc phi T04 T05,4800000,1700000,4800000,0,0,1200000,0
Khang Nguyen Bao,Son Nguyen,3.02,970432,DEMOACC009,parent09@example.com,0,DEMO2504S009,Hoc phi T04 T05,4800000,0,4800000,563850,850000,1200000,0
Lan Tran Ngoc,Hanh Tran,3.02,970441,DEMOACC010,parent10@example.com,0,DEMO2504S010,Hoc phi T04 T05,4800000,1700000,4800000,0,0,1200000,500000
Minh Nguyen An,Van Nguyen,3.03,970415,DEMOACC011,parent11@example.com,0,DEMO2504S011,Hoc phi T04 T05,4800000,0,4800000,563850,0,1200000,0
Nhi Dao Mai,Thu Dao,3.03,970432,DEMOACC012,parent12@example.com,0,DEMO2504S012,Hoc phi T04 T05,4800000,1700000,4800000,0,850000,1200000,0
