student_code,student_name,school,school_year,grade,class_name,parent_name,parent_email,parent_phone,relationship,parent_primary,parent_active,receives_billing_email
FH-S001,An Nguyen Minh,DEKISUGI,2025-2026,1,1.01,Linh Pham,parent-fh01@example.com,0902000001,mother,true,true,true
FH-S002,Bao Tran Gia,DEKISUGI,2025-2026,1,1.01,Nam Tran,parent-fh02@example.com,0902000002,father,true,true,true
FH-S003,Chi Le Bao,DEKISUGI,2025-2026,1,1.01,Hoa Le,parent-fh03a@example.com,0902000003,mother,true,true,true
FH-S003,Chi Le Bao,DEKISUGI,2025-2026,1,1.01,Phuc Le,parent-fh03b@example.com,0902000004,father,false,true,false
FH-S004,Khue Do Gia,DEKISUGI,2025-2026,1,1.01,Thao Do,,0902000005,mother,true,true,false
FH-S005,Duc Pham Anh,DEKISUGI,2025-2026,2,2.01,Huong Pham,parent-fh05@example.com,0902000006,mother,true,true,true
FH-S006,Em Pham Minh,DEKISUGI,2025-2026,2,2.01,Huong Pham,parent-fh05@example.com,0902000006,mother,true,true,true
FH-S007,Gia Vu Long,DEKISUGI,2025-2026,2,2.01,Quang Vu,parent-fh07@example.com,0902000007,father,true,false,false
FH-S008,Ha Hoang Yen,DEKISUGI,2025-2026,3,3.02,Mai Hoang,parent-fh08@example.com,0902000008,mother,true,true,true
FH-S009,Khang Nguyen Bao,DEKISUGI,2025-2026,3,3.02,Son Nguyen,parent-fh09@example.com,0902000009,father,true,true,true
FH-S010,Lan Tran Ngoc,DEKISUGI,2025-2026,3,3.02,Hanh Tran,parent-fh10@example.com,0902000010,mother,true,true,true
FH-S011,An Nguyen Minh,DEKISUGI,2025-2026,3,3.03,Van Nguyen,parent-fh11@example.com,0902000011,father,true,true,true
FH-S012,Nhi Dao Mai,DEKISUGI,2025-2026,3,3.03,Thu Dao,parent-fh12@example.com,0902000012,mother,true,true,true
FH-S013,Oanh Bui Khanh,DEKISUGI,2025-2026,3,3.03,Tuan Bui,parent-fh13@example.com,0902000013,father,true,true,true
FH-S014,Phuc Dang Khoa,DEKISUGI,2025-2026,3,3.03,Lam Dang,,0902000014,guardian,true,true,false
FH-S015,Quynh Vo Anh,DEKISUGI,2025-2026,4,4.01,Ngoc Vo,parent-fh15@example.com,0902000015,mother,true,true,true
FH-S016,Son Ly Thai,DEKISUGI,2025-2026,4,4.01,Binh Ly,parent-fh16@example.com,0902000016,father,true,true,true
